archive_url,rt_url
https://archive.org/details/roosterteeth-52480,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-33-5
https://archive.org/details/roosterteeth-52479,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-33-5-f7819412-ef57-4172-8edc-fbf68fe5b7dc
https://archive.org/details/roosterteeth-52447,https://roosterteeth.com/watch/mini-series-live-streams-stinkuary
https://archive.org/details/roosterteeth-52445,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-33-5
https://archive.org/details/roosterteeth-52444,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-33
https://archive.org/details/roosterteeth-52345,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-32
https://archive.org/details/roosterteeth-52344,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-32
https://archive.org/details/roosterteeth-52343,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-31
https://archive.org/details/roosterteeth-52342,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-30-36b4cb1e-9fc5-45b6-b740-e67c1109372c
https://archive.org/details/roosterteeth-52331,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-30
https://archive.org/details/roosterteeth-52330,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-30
https://archive.org/details/roosterteeth-52078,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-smtm-episode-8
https://archive.org/details/roosterteeth-52253,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-29
https://archive.org/details/roosterteeth-52252,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-29
https://archive.org/details/roosterteeth-52076,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-smtm-episode-7
https://archive.org/details/roosterteeth-52077,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-episode-8
https://archive.org/details/roosterteeth-52251,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-passe-in-perrish-28
https://archive.org/details/roosterteeth-52250,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-passe-in-perrish-28
https://archive.org/details/roosterteeth-1557-bonus,https://roosterteeth.com/watch/mini-series-december-first-stream
https://archive.org/details/roosterteeth-52074,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-smtm-episode-6
https://archive.org/details/roosterteeth-52075,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-episode-7
https://archive.org/details/roosterteeth-52231,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-27
https://archive.org/details/roosterteeth-52230,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-27
https://archive.org/details/roosterteeth-52072,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-smtm-episode-5
https://archive.org/details/roosterteeth-52073,https://roosterteeth.com/watch/stinky-dragon-adventures-season-1-episode-6
https://archive.org/details/roosterteeth-52189,https://roosterteeth.com/watch/tales-from-the-stinky-dragon-arc-5-passe-in-perrish-second-wind-26
